IncidentID,num_vehicles_involved,eCollisionManner,Longitude,Latitude,InjurySeverity,eIntersectionType,eCollisionManner,city_name,IncidentDateTime,cyclist_citations,driver_citations
2327545,2,SIDESWIPE_SAME_DIRECTION,-110.91761087916,32.1565828362945,4,T_INTERSECTION,SIDESWIPE_SAME_DIRECTION,UNSPECIFIED_999,2010-01-22 06:43:00,UNKNOWN_99,NOT_APPLICABLE_MINUS_1+UNKNOWN_99
2329140,3,SIDESWIPE_SAME_DIRECTION,-111.771197030647,33.4081701817278,2,FOUR_WAY_INTERSECTION,SIDESWIPE_SAME_DIRECTION,MESA,2010-01-20 14:36:00,NO_IMPROPER_ACTION,UNKNOWN_99+NOT_APPLICABLE_MINUS_1+NO_IMPROPER_ACTION
2332965,2,HEAD_ON,-114.295979721615,34.1572653551913,5,T_INTERSECTION,HEAD_ON,PARKER,2010-02-09 18:09:00,NO_IMPROPER_ACTION,DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE
2335885,2,REAR_END,-111.855191944293,33.7452347593348,5,NOT_AT_INTERSECTION_0,REAR_END,SCOTTSDALE,2010-02-24 13:12:00,NO_IMPROPER_ACTION,FAILED_TO_YIELD_RIGHT_OF_WAY_103
2342480,2,OTHER_97,-112.255024838526,33.5231419544852,4,T_INTERSECTION,OTHER_97,GLENDALE,2010-03-18 16:42:00,UNKNOWN_99,UNKNOWN_99
2350713,2,OTHER_97,-110.968170965265,32.1632640013419,2,FOUR_WAY_INTERSECTION,OTHER_97,TUCSON,2010-04-06 09:30:00,NO_IMPROPER_ACTION,NO_IMPROPER_ACTION
2354525,2,ANGLE_FRONT_TO_SIDE,-111.874538021819,33.4072861783844,5,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,MESA,2010-05-04 20:27:00,DID_NOT_USE_CROSSWALK,NO_IMPROPER_ACTION
2357639,2,SIDESWIPE_SAME_DIRECTION,-110.849057292478,32.2486087375298,4,NOT_AT_INTERSECTION_0,SIDESWIPE_SAME_DIRECTION,TUCSON,2010-04-28 07:55:00,NO_IMPROPER_ACTION,INATTENTION_DISTRACTION
2367616,2,OTHER_97,-112.322982602953,34.6287658524799,5,T_INTERSECTION,OTHER_97,PRESCOTT VALLEY,2010-03-25 05:46:00,UNKNOWN_99,NO_IMPROPER_ACTION
2372765,2,ANGLE_FRONT_TO_SIDE,-111.909132082341,33.4001441634525,5,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,2010-05-17 17:25:00,UNKNOWN_99,UNKNOWN_99
2373170,2,HEAD_ON,-111.763672727419,33.4154187603152,5,NOT_AT_INTERSECTION_0,HEAD_ON,MESA,2010-02-17 13:12:00,DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE,NOT_APPLICABLE_MINUS_1+NO_IMPROPER_ACTION
2375226,2,ANGLE_FRONT_TO_SIDE,-112.030158367665,33.4625534934688,3,Y_INTERSECTION,ANGLE_FRONT_TO_SIDE,PHOENIX,2010-01-05 08:06:00,DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE,FAILED_TO_YIELD_RIGHT_OF_WAY_103
2376792,2,ANGLE_FRONT_TO_SIDE,-111.925551260541,33.4220360597568,3,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,TEMPE,2010-01-29 15:12:00,NO_IMPROPER_ACTION,FAILED_TO_YIELD_RIGHT_OF_WAY_103
2376819,2,REAR_END,-111.940061489042,33.4254824812268,2,FOUR_WAY_INTERSECTION,REAR_END,TEMPE,2010-01-23 22:32:00,FAILED_TO_YIELD_RIGHT_OF_WAY_103,NO_IMPROPER_ACTION+NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1
2376923,2,LEFT_TURN,-111.97765965175,33.4219027741954,1,T_INTERSECTION,LEFT_TURN,PHOENIX,2010-01-28 09:43:00,FAILED_TO_YIELD_RIGHT_OF_WAY_103,NO_IMPROPER_ACTION
2377355,2,ANGLE_FRONT_TO_SIDE,-114.650408164386,32.7057665510314,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,YUMA,2010-01-09 09:36:00,DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE,NOT_APPLICABLE_MINUS_1+NO_IMPROPER_ACTION+NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1
2377673,2,ANGLE_FRONT_TO_SIDE,-110.959459270146,32.2303796490269,3,T_INTERSECTION,ANGLE_FRONT_TO_SIDE,TUCSON,2010-01-13 16:48:00,NO_IMPROPER_ACTION,RAN_STOP_SIGN
2377757,2,SIDESWIPE_SAME_DIRECTION,-111.789550637056,33.3477662327187,3,T_INTERSECTION,SIDESWIPE_SAME_DIRECTION,GILBERT,2010-01-11 11:00:00,NO_IMPROPER_ACTION,NO_IMPROPER_ACTION+NOT_APPLICABLE_MINUS_1
2377828,2,ANGLE_FRONT_TO_SIDE,-111.56345461279,33.3788150575347,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,UNSPECIFIED_999,2010-01-05 06:15:00,OTHER_97,UNKNOWN_99
2377905,2,ANGLE_FRONT_TO_SIDE,-111.856743213453,33.4062633543809,4,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,MESA,2010-01-19 11:07:00,OTHER_97,FAILED_TO_YIELD_RIGHT_OF_WAY_103
2377967,2,ANGLE_FRONT_TO_SIDE,-111.900097085368,33.5093649466531,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,SCOTTSDALE,2010-01-13 16:27:00,DISREGARDED_TRAFFIC_SIGNAL,NO_IMPROPER_ACTION
2378016,2,SIDESWIPE_SAME_DIRECTION,-110.961117381292,32.4243635169975,1,FOUR_WAY_INTERSECTION,SIDESWIPE_SAME_DIRECTION,ORO VALLEY,2010-01-01 12:45:00,UNKNOWN_99,NO_IMPROPER_ACTION
2378018,2,HEAD_ON,-111.874477990292,33.4136533836056,2,NOT_AT_INTERSECTION_0,HEAD_ON,MESA,2010-01-15 15:58:00,NO_IMPROPER_ACTION,FAILED_TO_YIELD_RIGHT_OF_WAY_103
2378052,2,ANGLE_FRONT_TO_SIDE,-112.290401414552,33.49358454856,3,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,UNSPECIFIED_999,2010-08-03 08:19:00,DID_NOT_USE_CROSSWALK,NO_IMPROPER_ACTION
2378110,2,OTHER_97,-114.624767470788,32.7010397070109,2,T_INTERSECTION,OTHER_97,YUMA,2010-01-13 14:50:00,SPEED_TOO_FAST_FOR_CONDITIONS,NO_IMPROPER_ACTION
2378139,2,ANGLE_FRONT_TO_SIDE,0,0,4,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,YUMA,2010-01-11 17:11:00,FAILED_TO_YIELD_RIGHT_OF_WAY_103,OTHER_UNSAFE_PASSING
2378182,2,REAR_END,-111.667098344683,33.2641652001822,3,NOT_AT_INTERSECTION_0,REAR_END,QUEEN CREEK,2010-01-01 11:21:00,FAILED_TO_YIELD_RIGHT_OF_WAY_103,UNKNOWN_99+NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1
2378188,2,ANGLE_FRONT_TO_SIDE,-110.277623108508,31.5546355721882,1,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,SIERRA VISTA,2010-01-06 15:54:00,DISREGARDED_TRAFFIC_SIGNAL,NO_IMPROPER_ACTION
2378190,2,SIDESWIPE_SAME_DIRECTION,-114.011588943735,35.2199531301974,3,NOT_AT_INTERSECTION_0,SIDESWIPE_SAME_DIRECTION,KINGMAN,2010-01-09 11:43:00,UNKNOWN_99,NO_IMPROPER_ACTION+NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1
2378192,2,ANGLE_FRONT_TO_SIDE,-110.264612646165,31.5546298266725,1,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,SIERRA VISTA,2010-01-06 16:54:00,DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE,FAILED_TO_YIELD_RIGHT_OF_WAY_103
2378199,2,LEFT_TURN,-111.814051321483,33.4275260233989,2,T_INTERSECTION,LEFT_TURN,MESA,2010-01-07 07:37:00,DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE,NO_IMPROPER_ACTION
2378265,2,REAR_END,0,0,2,NOT_AT_INTERSECTION_0,REAR_END,MARICOPA,2010-01-03 14:51:00,UNKNOWN_99,UNKNOWN_99
2378307,2,ANGLE_FRONT_TO_SIDE,-112.241257878144,33.6781976536894,1,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,PEORIA,2010-01-07 07:22:00,OTHER_97,INATTENTION_DISTRACTION
2378365,2,ANGLE_FRONT_TO_SIDE,-112.250655111604,33.6526147575758,3,T_INTERSECTION,ANGLE_FRONT_TO_SIDE,PEORIA,2010-01-19 06:42:00,DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE,NO_IMPROPER_ACTION
2378374,2,ANGLE_FRONT_TO_SIDE,-112.217068923896,33.5959219591846,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,PEORIA,2010-01-07 14:30:00,UNKNOWN_99,UNKNOWN_99
2378384,2,SIDESWIPE_SAME_DIRECTION,-111.65041962923,35.1975893948791,1,NOT_AT_INTERSECTION_0,SIDESWIPE_SAME_DIRECTION,FLAGSTAFF,2010-01-12 17:40:00,NO_IMPROPER_ACTION,NO_IMPROPER_ACTION
