IncidentID,num_vehicles_involved,eCollisionManner,Longitude,Latitude,InjurySeverity,eIntersectionType,eCollisionManner,city_name,IncidentDateTime,cyclist_citations,driver_citations,nearest_count_site,distance_to_nearest_count_site
2233309,2,ANGLE_FRONT_TO_SIDE,-111.926138310635,33.4002319943299,3,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,TEMPE,"2009/01/08 15:45:00",OTHER_97,OTHER_97,129,4.26744196115647E-05
2699238,2,OTHER_97,-111.96086402542,33.4219384437177,3,FOUR_WAY_INTERSECTION,OTHER_97,TEMPE,"2013/02/19 19:16:00",DISREGARDED_TRAFFIC_SIGNAL,NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1+NO_IMPROPER_ACTION,165,4.40424277621732E-05
2707068,2,ANGLE_FRONT_TO_SIDE,-111.939454612739,33.3928607414179,2,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,TEMPE,"2013/03/18 11:49:00",OTHER_97,NO_IMPROPER_ACTION,144,4.67711272122535E-05
2593593,2,ANGLE_FRONT_TO_SIDE,-111.943285115802,33.4376218251393,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2011/09/25 09:14:00",NO_IMPROPER_ACTION,INATTENTION_DISTRACTION,101,5.70564377067508E-05
2496147,2,ANGLE_FRONT_TO_SIDE,-111.952211613601,33.4219070076761,3,UNKNOWN_99,ANGLE_FRONT_TO_SIDE,TEMPE,"2011/02/09 19:10:00",KNOWINGLY_OPERATED_WITH_FAULTY_MISSING_EQUIPMENT,NO_IMPROPER_ACTION,121,6.32776012936526E-05
2656455,2,LEFT_TURN,-111.952211613601,33.4219070076761,3,FOUR_WAY_INTERSECTION,LEFT_TURN,TEMPE,"2012/08/29 21:05:00",OTHER_97,NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1+NO_IMPROPER_ACTION,121,6.32776012936526E-05
2599206,2,ANGLE_FRONT_TO_SIDE,-111.909113219373,33.407496496678,1,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/02/08 19:21:00",OTHER_97,UNKNOWN_99,159,6.38005385383416E-05
2664825,2,ANGLE_FRONT_TO_SIDE,-111.926261889674,33.3929576339383,1,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/09/25 20:01:00",DISREGARDED_TRAFFIC_SIGNAL,NO_IMPROPER_ACTION,142,6.49402722788049E-05
2386750,2,LEFT_TURN,-111.926164494832,33.4002319921987,2,FOUR_WAY_INTERSECTION,LEFT_TURN,TEMPE,"2010/02/03 17:11:00",OTHER_97,NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1+NO_IMPROPER_ACTION,129,6.79542579962863E-05
2480708,2,ANGLE_FRONT_TO_SIDE,-111.930828644568,33.4402238520984,1,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2010/12/14 13:08:00",DISREGARDED_TRAFFIC_SIGNAL,NO_IMPROPER_ACTION,157,7.27401062882014E-05
2479835,2,LEFT_TURN,-111.930657363155,33.4147214933161,1,FOUR_WAY_INTERSECTION,LEFT_TURN,TEMPE,"2010/12/06 10:08:00",NO_IMPROPER_ACTION,INATTENTION_DISTRACTION,153,7.27868560078002E-05
2756469,2,ANGLE_FRONT_TO_SIDE,-111.930657363155,33.4147214933161,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2013/08/08 07:01:00",UNKNOWN_99,NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1+UNKNOWN_99+NOT_APPLICABLE_MINUS_1,153,7.27868560078002E-05
2666649,2,SIDESWIPE_SAME_DIRECTION,-111.91776337791,33.4194275830584,1,FOUR_WAY_INTERSECTION,SIDESWIPE_SAME_DIRECTION,TEMPE,"2012/11/02 16:08:00",RAN_STOP_SIGN,UNKNOWN_99,166,7.32936027441034E-05
2611023,2,ANGLE_FRONT_TO_SIDE,-111.926128498277,33.4128797570023,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/03/14 07:37:00",FAILED_TO_YIELD_RIGHT_OF_WAY_103,NO_IMPROPER_ACTION,136,7.77080350396355E-05
2353717,2,ANGLE_FRONT_TO_SIDE,-111.960827258932,33.4219342468359,1,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2009/10/24 18:11:00",DISREGARDED_TRAFFIC_SIGNAL,NO_IMPROPER_ACTION,165,8.07600993484669E-05
2656770,2,ANGLE_FRONT_TO_SIDE,-111.947036539835,33.4218968035876,3,UNKNOWN_99,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/08/24 21:52:00",OTHER_97,NOT_APPLICABLE_MINUS_1+NO_IMPROPER_ACTION,120,8.1147297552164E-05
2527941,2,ANGLE_FRONT_TO_SIDE,-111.93935230164,33.3782075683466,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2011/05/29 12:06:00",INATTENTION_DISTRACTION,NO_IMPROPER_ACTION,147,8.20934188024154E-05
2656729,2,ANGLE_FRONT_TO_SIDE,-111.93935230164,33.3782075683466,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/08/24 12:55:00",NO_IMPROPER_ACTION,INATTENTION_DISTRACTION,147,8.20934188024154E-05
2675708,2,ANGLE_FRONT_TO_SIDE,-111.93935230164,33.3782075683466,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/11/30 00:36:00",NO_IMPROPER_ACTION,FAILED_TO_YIELD_RIGHT_OF_WAY_103,147,8.20934188024154E-05
2415117,2,ANGLE_FRONT_TO_SIDE,-111.926275450315,33.4128722346264,1,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2010/05/07 23:44:00",OTHER_97,NOT_APPLICABLE_MINUS_1+INATTENTION_DISTRACTION+NOT_APPLICABLE_MINUS_1+NOT_APPLICABLE_MINUS_1,136,8.20991849499154E-05
2530190,2,ANGLE_FRONT_TO_SIDE,-111.926275450315,33.4128722346264,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2011/06/06 18:28:00",NO_IMPROPER_ACTION,DISREGARDED_TRAFFIC_SIGNAL,136,8.20991849499154E-05
2655610,2,ANGLE_FRONT_TO_SIDE,-111.929214370657,33.4147332906047,3,NOT_REPORTED_255,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/03/27 16:12:00",DISREGARDED_TRAFFIC_SIGNAL,NO_IMPROPER_ACTION,134,8.31960565173911E-05
2707121,2,ANGLE_FRONT_TO_SIDE,-111.926121954334,33.412879857648,2,T_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2013/03/21 09:24:00",FAILED_TO_YIELD_RIGHT_OF_WAY_103,NO_IMPROPER_ACTION,136,8.36540431936593E-05
2665627,2,LEFT_TURN,-111.926275229005,33.412806288658,2,T_INTERSECTION,LEFT_TURN,TEMPE,"2012/10/18 17:20:00",NO_IMPROPER_ACTION,FAILED_TO_YIELD_RIGHT_OF_WAY_103,136,8.63880038714419E-05
2657039,2,ANGLE_FRONT_TO_SIDE,-111.926118682363,33.4128799079707,1,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/09/26 09:27:00",OTHER_97,NO_IMPROPER_ACTION,136,8.66594135572668E-05
2725723,2,ANGLE_FRONT_TO_SIDE,-111.917784187968,33.4147613435289,3,T_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2013/05/23 20:37:00",INATTENTION_DISTRACTION,INATTENTION_DISTRACTION,132,8.77238665579331E-05
2460213,2,LEFT_TURN,-111.930920311055,33.4402226562309,3,FOUR_WAY_INTERSECTION,LEFT_TURN,TEMPE,"2010/10/06 18:54:00",NO_IMPROPER_ACTION,OTHER_97,157,8.89904317598306E-05
2756450,2,ANGLE_FRONT_TO_SIDE,-111.926285646389,33.4167254991365,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2013/08/22 13:15:00",DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE,NO_IMPROPER_ACTION,135,8.97896050941221E-05
2784738,2,ANGLE_FRONT_TO_SIDE,-111.926275201342,33.4127980454118,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2013/11/04 13:08:00",NO_IMPROPER_ACTION,DISREGARDED_TRAFFIC_SIGNAL,136,9.03591752884127E-05
2585781,2,ANGLE_FRONT_TO_SIDE,-111.92628564454,33.4167227508481,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2011/10/26 09:53:00",NO_IMPROPER_ACTION,DISREGARDED_TRAFFIC_SIGNAL,135,9.04244997352318E-05
2643820,2,ANGLE_FRONT_TO_SIDE,-111.939592011462,33.3928593290303,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/07/31 20:27:00",DISREGARDED_TRAFFIC_SIGNAL,NO_IMPROPER_ACTION,144,9.39616683121578E-05
2367706,2,ANGLE_FRONT_TO_SIDE,-111.930662640635,33.4147481217154,2,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,TEMPE,"2009/12/17 15:55:00",NO_IMPROPER_ACTION,FAILED_TO_YIELD_RIGHT_OF_WAY_103+NOT_APPLICABLE_MINUS_1,153,9.46952237125488E-05
