LocID,Time,Invalid,DivBy
101,AM,FALSE,1
102,AM,FALSE,1
103,AM,FALSE,1
104,AM,FALSE,1
105,AM,TRUE,1
106,AM,FALSE,1
107,AM,TRUE,1
108,AM,FALSE,1
109,AM,TRUE,1
110,AM,FALSE,1
111,AM,FALSE,1
112,AM,FALSE,1
113,AM,FALSE,2
114,AM,FALSE,1
115,AM,FALSE,1
116,AM,FALSE,2
117,AM,FALSE,1
118,AM,FALSE,1
119,AM,FALSE,1
120,AM,FALSE,1
121,AM,TRUE,1
122,AM,FALSE,1
123,AM,FALSE,1
124,AM,FALSE,1
125,AM,TRUE,1
126,AM,FALSE,1
127,AM,TRUE,1
128,AM,FALSE,1
129,AM,FALSE,2
130,AM,TRUE,1
131,AM,TRUE,1
132,AM,TRUE,1
133,AM,FALSE,1
134,AM,TRUE,1
135,AM,FALSE,1
136,AM,TRUE,1
137,AM,TRUE,1
138,AM,FALSE,1
139,AM,FALSE,1
140,AM,TRUE,1
141,AM,FALSE,1
142,AM,FALSE,1
143,AM,FALSE,1
144,AM,FALSE,1
145,AM,FALSE,1
146,AM,FALSE,1
147,AM,FALSE,1
148,AM,TRUE,1
149,AM,TRUE,1
150,AM,TRUE,1
151,AM,TRUE,1
152,AM,FALSE,1
153,AM,TRUE,1
154,AM,TRUE,1
155,AM,FALSE,1
156,AM,FALSE,1
157,AM,FALSE,1
158,AM,TRUE,1
159,AM,FALSE,1
160,AM,FALSE,1
161,AM,TRUE,1
162,AM,FALSE,1
163,AM,FALSE,1
164,AM,FALSE,1
165,AM,FALSE,1
166,AM,TRUE,1
167,AM,TRUE,1
168,AM,TRUE,1
169,AM,TRUE,1
101,PM,TRUE,1
102,PM,FALSE,2
103,PM,FALSE,1
104,PM,FALSE,1
105,PM,TRUE,1
106,PM,FALSE,1
107,PM,TRUE,1
108,PM,FALSE,1
109,PM,TRUE,1
110,PM,FALSE,1
111,PM,TRUE,1
112,PM,FALSE,1
113,PM,FALSE,1
114,PM,FALSE,1
115,PM,FALSE,1
116,PM,FALSE,1
117,PM,FALSE,1
118,PM,FALSE,1
119,PM,FALSE,1
120,PM,FALSE,1
121,PM,FALSE,1
122,PM,FALSE,1
123,PM,FALSE,1
124,PM,FALSE,1
125,PM,TRUE,1
126,PM,FALSE,1
127,PM,TRUE,1
128,PM,TRUE,1
129,PM,FALSE,2
130,PM,TRUE,1
131,PM,FALSE,1
132,PM,FALSE,1
133,PM,FALSE,2
134,PM,TRUE,1
135,PM,FALSE,1
136,PM,TRUE,1
137,PM,TRUE,1
138,PM,FALSE,1
139,PM,FALSE,1
140,PM,TRUE,1
141,PM,FALSE,1
142,PM,FALSE,1
143,PM,FALSE,1
144,PM,FALSE,1
145,PM,FALSE,1
146,PM,FALSE,1
147,PM,FALSE,1
148,PM,TRUE,1
149,PM,TRUE,1
150,PM,TRUE,1
151,PM,TRUE,1
152,PM,TRUE,1
153,PM,TRUE,1
154,PM,TRUE,1
155,PM,FALSE,1
156,PM,FALSE,1
157,PM,FALSE,1
158,PM,TRUE,1
159,PM,TRUE,1
160,PM,FALSE,1
161,PM,FALSE,1
162,PM,FALSE,1
163,PM,FALSE,1
164,PM,FALSE,1
165,PM,FALSE,1
166,PM,TRUE,1
167,PM,TRUE,1
168,PM,TRUE,1
169,PM,TRUE,1
