Location ID,Time,Recorder,Rec Count,Page,Segment,Direction,Count,Gender ,Age_Y,Age_O,Helmet,Wrong way,Sidewalk,Distracted,Pedestrian,Notes,Construction
103,AM,Charlotte Quinn,3,1,4,2,10,4,,1,2,2,10,,5,,
103,AM,Charlotte Quinn,3,1,4,3,2,1,,,2,,,,,,
103,AM,Charlotte Quinn,3,1,4,4,,,,,,,,,,,
103,AM,Charlotte Quinn,3,2,1,1,,,,,,,,,1,"1 electric scooter, 1 bike with pulled child compartment (child not counted) going SB",
103,AM,Charlotte Quinn,3,2,1,2,10,4,,,2,1,9,,1,,
103,AM,Charlotte Quinn,3,2,1,3,4,2,,,2,,,,2,,
103,AM,Charlotte Quinn,3,2,1,4,3,,,,2,,2,,2,,
103,AM,Charlotte Quinn,3,2,2,1,1,,,,1,,,,1,,
103,AM,Charlotte Quinn,3,2,2,2,8,1,,,1,1,8,,3,,
103,AM,Charlotte Quinn,3,2,2,3,1,,,,1,,,,2,,
103,AM,Charlotte Quinn,3,2,2,4,2,,,,2,,,,1,,
103,AM,Charlotte Quinn,3,2,3,1,1,,,,,,1,,,,
103,AM,Charlotte Quinn,3,2,3,2,7,,,,4,,6,,4,,
103,AM,Charlotte Quinn,3,2,3,3,4,1,,2,2,,,,,,
103,AM,Charlotte Quinn,3,2,3,4,1,,,,1,,,,,,
103,AM,Charlotte Quinn,3,2,4,1,1,,,,1,,1,,4,,
103,AM,Charlotte Quinn,3,2,4,2,3,,,,2,,3,,5,,
103,AM,Charlotte Quinn,3,2,4,3,1,,,,1,,,,,,
103,AM,Charlotte Quinn,3,2,4,4,,,,,,,,,1,,
104,PM,James Purkhiser,4,1,1,1,2,,,,1,2,2,1,2,,
104,PM,James Purkhiser,4,1,1,2,3,,,,,1,3,,,,
104,PM,James Purkhiser,4,1,1,3,,,,,,,,,1,,
104,PM,James Purkhiser,4,1,1,4,1,,,,,,1,,,,
104,PM,James Purkhiser,4,1,2,1,7,1,,,,,5,,1,,
104,PM,James Purkhiser,4,1,2,2,3,,,,1,1,3,1,,,
104,PM,James Purkhiser,4,1,2,3,5,1,,,2,2,1,2,,,
104,PM,James Purkhiser,4,1,2,4,3,,,,1,,,,1,,
104,PM,James Purkhiser,4,1,3,1,2,1,,,,1,2,1,3,,
104,PM,James Purkhiser,4,1,3,2,1,,,,,,1,,2,,
104,PM,James Purkhiser,4,1,3,3,,,,,,,,,,,
104,PM,James Purkhiser,4,1,3,4,4,1,,,1,2,2,3,,,
104,PM,James Purkhiser,4,1,4,1,7,1,,,1,3,7,1,,,
104,PM,James Purkhiser,4,1,4,2,4,,,1,1,,2,,2,,
104,PM,James Purkhiser,4,1,4,3,1,,,,1,,,,,,
104,PM,James Purkhiser,4,1,4,4,3,,,,2,,1,1,,,
104,PM,James Purkhiser,4,2,1,1,,,,,,,,,,,
104,PM,James Purkhiser,4,2,1,2,2,,,,,1,2,1,2,,
104,PM,James Purkhiser,4,2,1,3,1,1,,,1,,,,,,
104,PM,James Purkhiser,4,2,1,4,1,,,,,,,1,1,,
104,PM,James Purkhiser,4,2,2,1,2,,,,,,2,,2,,
104,PM,James Purkhiser,4,2,2,2,4,,,,2,,3,2,1,,
104,PM,James Purkhiser,4,2,2,3,1,,,,1,,,,,,
104,PM,James Purkhiser,4,2,2,4,3,1,,,,,2,1,2,,
104,PM,James Purkhiser,4,2,3,1,,,,,,,,,1,,
104,PM,James Purkhiser,4,2,3,2,5,2,,,,2,5,1,,,
104,PM,James Purkhiser,4,2,3,3,3,2,,,,2,3,1,1,,
104,PM,James Purkhiser,4,2,3,4,1,1,,,,,1,1,3,,
104,PM,James Purkhiser,4,2,4,1,5,,,,2,3,4,,,,
104,PM,James Purkhiser,4,2,4,2,,,,,,,,,4,,
104,PM,James Purkhiser,4,2,4,3,2,1,,,,1,2,1,,,
104,PM,James Purkhiser,4,2,4,4,1,,,,,1,1,,2,,
105,AM,Jennifer Guzy,5,1,1,1,2,1,,,2,,,,,,
105,AM,Jennifer Guzy,5,1,1,2,1,,,,1,,,,,,
105,AM,Jennifer Guzy,5,1,1,3,1,,,,1,,,,,,
105,AM,Jennifer Guzy,5,1,1,4,,,,,,,,,,,
105,AM,Jennifer Guzy,5,1,2,1,1,1,,,1,,,,,,
105,AM,Jennifer Guzy,5,1,2,2,,,,,,,,,,,
105,AM,Jennifer Guzy,5,1,2,3,,,,,,,,,,,
105,AM,Jennifer Guzy,5,1,2,4,,,,,,,,,1,,
105,AM,Jennifer Guzy,5,1,3,1,,,,,,,,,,,
105,AM,Jennifer Guzy,5,1,3,2,,,,,,,,,,,
105,AM,Jennifer Guzy,5,1,3,3,,,,,,,,,,,
105,AM,Jennifer Guzy,5,1,3,4,,,,,,,,,,,
105,AM,Jennifer Guzy,5,1,4,1,,,,,,,,,,,
105,AM,Jennifer Guzy,5,1,4,2,1,1,,,1,,,,,,
105,AM,Jennifer Guzy,5,1,4,3,,,,,,,,,,,
105,AM,Jennifer Guzy,5,1,4,4,,,,,,,,,,,
105,AM,Jennifer Guzy,5,2,1,1,1,,,,,,,,1,,
105,AM,Jennifer Guzy,5,2,1,2,1,,,,1,,,,,,
105,AM,Jennifer Guzy,5,2,1,3,,,,,,,,,2,,
105,AM,Jennifer Guzy,5,2,1,4,,,,,,,,,,,
105,AM,Jennifer Guzy,5,2,2,1,,,,,,,,,,,
105,AM,Jennifer Guzy,5,2,2,2,1,1,,,1,,,,,,
105,AM,Jennifer Guzy,5,2,2,3,1,,,,1,,,,,,
105,AM,Jennifer Guzy,5,2,2,4,,,,,,,,,,,
105,AM,Jennifer Guzy,5,2,3,1,1,1,,,,,,,4,,
105,AM,Jennifer Guzy,5,2,3,2,,,,,,,,,,,
105,AM,Jennifer Guzy,5,2,3,3,,,,,,,,,1,,
105,AM,Jennifer Guzy,5,2,3,4,,,,,,,,,1,,
105,AM,Jennifer Guzy,5,2,4,1,1,,,,,,1,1,,,
105,AM,Jennifer Guzy,5,2,4,2,,,,,,,,,5,,
105,AM,Jennifer Guzy,5,2,4,3,,,,,,,,,,,
105,AM,Jennifer Guzy,5,2,4,4,,,,,,,,,1,,
105,PM,Ryan Guzy,6,1,1,1,2,,,,2,,,,1,could see bikes on the lake path in the distance-did not count these,
105,PM,Ryan Guzy,6,1,1,2,,,,,,,,,,,
105,PM,Ryan Guzy,6,1,1,3,,,,,,,,,,,
105,PM,Ryan Guzy,6,1,1,4,,,,,,,,,,,
