LocID,LocEW,LocNS,Cordon,NB_ASU_in,SB_ASU_in,EB_ASU_in,WB_ASU_in,NBLane,SBLane,EBLane,WBLane,NBZip,SBZip,Zone,DistASU,Traffic,TrafficNS,TrafficEW,Latitude,Longitude,NBswSkip,SBswSkip,EBswSkip,WBswSkip,LocNameShort,LocEWshort,LocNSshort,Node1,Node2,Node3,Node4
135,Lemon St,Rural Rd,1,,,,1,0,0,3,3,1,1,2,0,38694,38694,NA,33.416745,-111.926198,,,,,Lemon & Rural,Lemon,Rural,46,,,
136,Spence St,Rural Rd,0,,,,,0,0,4,0,1,1,2,0,43512,43512,NA,33.412845,-111.926198,,,,,Spence & Rural,Spence,Rural,61,,,
137,Broadway Rd,Priest Dr,0,,,,,3,3,0,0,2,1,,1.75,35751,33982,35751,33.407545,-111.960699,,,,,Bway & Priest,Bway,Priest,56,81,52,55
138,Broadway Rd,Rural Rd,0,,,,,0,0,0,0,2,1,,0.5,43512,43512,32224,33.407445,-111.926098,,,,,Bway & Rural,Bway,Rural,63,74,61,62
139,Broadway Rd,College Ave,0,,,,,3,3,3,3,2,1,,0.5,32224,7707,32224,33.407445,-111.934699,,,,,Bway & College,Bway,College,76,60,62,
140,Southern Ave,Priest Dr,0,,,,,3,3,0,0,2,2,,2.75,44128,44128,28817,33.392845,-111.960709,,,,,So & Priest,So,Priest,85,154,81,84
141,Southern Ave,College Ave,0,,,,,3,3,0,0,2,2,,1.5,30005,4728,30005,33.392846,-111.934798,,,,,So & College,So,College,90,76,86,
142,Southern Ave,Rural Rd,0,,,,,0,0,0,0,2,2,,1.5,43788,43788,30005,33.392946,-111.926198,,,,,So & Rural,So,Rural,73,91,74,86
143,Southern Ave,Hardy Dr,0,,,,,3,3,0,0,2,2,,2.22,28817,13042,28817,33.392846,-111.951999,,,,,So & Hardy,So,Hardy,105,79,85,
144,Southern Ave,Mill Ave,0,,,,,1,1,0,0,2,2,3,1.5,34540,34540,30005,33.392846,-111.939499,,,,,So & Mill,So,Mill,86,89,77,85
145,Alameda Dr,Mill Ave,0,,,,,1,1,2,2,2,2,3,1,29767,29767,1994,33.4001,-111.9397,,,,,Alameda & Mill,Alameda,Mill,75,77,,
146,Broadway Rd,Mill Ave,0,,,,,1,1,0,0,2,1,3,0.5,32224,29767,32224,33.407345,-111.939699,,,,,Bway & Mill,Bway,Mill,62,77,56,59
147,Baseline Rd,Mill Ave,0,,,,,3,1,0,0,3,2,3,2.5,30012,24210,30012,33.378146,-111.939298,,,,,Baseline & Mill,Baseline,Mill,100,112,102,
148,Guadalupe Rd,Kyrene Rd,0,,,,,3,3,3,3,3,3,6,2.87,26421,26421,22687,33.363546,-111.945898,,,,,Guad & Kyrene,Guad,Kyrene,122,126,111,123
149,Guadalupe Rd,Country Club Wy,0,,,,,3,3,3,3,3,3,6,5,24378,NA,24378,33.3638,-111.9026,,,,,Guad & CntryClub,Guad,CntryClub,120,,,
150,Guadalupe Rd,Lakeshore Dr,0,,,,,3,3,3,3,3,3,6,4.5,20605,NA,20605,33.363647,-111.919797,,,,,Guad & Lakeshore,Guad,Lakeshore,121,,,
151,University Dr,Forest Ave,0,,,,,0,0,3,3,1,1,3,0,36499,NA,36499,33.421845,-111.936499,,,,,Univ & Forest,Univ,Forest,38,,,
152,Tempe Lake S.,TCA Bridge,0,,,,,4,4,4,4,,,,0.8,0,0,0,33.4324,-111.94885,1,1,1,1,Lake & TCA Bridge,Lake,TCA Bridge,,,,
