"LocID","TotPerHr","Female","Helmet","Wrongway","Sidewalk","Latitude","Longitude"
101,23.5,0.170212765957447,0.659574468085106,0.234042553191489,0.319148936170213,33.437574,-111.943254
102,57.75,0.181818181818182,0.402597402597403,0.264069264069264,0.45021645021645,33.42969,-111.94045
103,54.25,0.138248847926267,0.271889400921659,0.276497695852535,0.838709677419355,33.42885,-111.92628
104,24.75,0.181818181818182,0.202020202020202,0.333333333333333,0.858585858585859,33.429145,-111.908898
105,18,0.138888888888889,0.694444444444444,0.0833333333333333,0.194444444444444,33.430948,-111.95246
106,93,0.223118279569892,0.188172043010753,0.0510752688172043,0.0913978494623656,33.425445,-111.939799
108,64,0.2421875,0.1328125,0.0390625,0.078125,33.425445,-111.944099
109,57.5,0.330434782608696,0.295652173913043,0.0782608695652174,0.147826086956522,33.425545,-111.952199
110,13,0.153846153846154,0.25,0.173076923076923,0.423076923076923,33.4256,-111.96095
111,75.5,0.33112582781457,0.208609271523179,0.0529801324503311,0.132450331125828,33.418945,-111.939799
113,33.5,0.373134328358209,0.283582089552239,0.0447761194029851,0,33.414645,-111.939799
114,45,0.294444444444444,0.277777777777778,0.0833333333333333,0.0722222222222222,33.414645,-111.951999
115,242.25,0.272445820433437,0.0619195046439628,0.199174406604747,0.376676986584107,33.421845,-111.934799
116,69.25,0.252707581227437,0.0866425992779783,0.328519855595668,0.574007220216607,33.42202,-111.91768
117,187.25,0.269692923898531,0.0627503337783712,0.320427236315087,0.598130841121495,33.422045,-111.926299
118,154.5,0.199029126213592,0.12621359223301,0.299352750809061,0.522653721682848,33.421945,-111.939799
119,65.5,0.206106870229008,0.16793893129771,0.16030534351145,0.244274809160305,33.421945,-111.942199
120,81,0.228395061728395,0.123456790123457,0.12962962962963,0.320987654320988,33.4219,-111.94727
121,50.25,0.18407960199005,0.298507462686567,0.194029850746269,0.402985074626866,33.421845,-111.952199
122,39.25,0.235668789808917,0.401273885350318,0.0191082802547771,0.0445859872611465,33.45128,-111.91303
123,32.5,0.230769230769231,0.923076923076923,0.0153846153846154,0.0923076923076923,33.35663,-111.92854
124,33,0.174242424242424,0.5,0.0833333333333333,0.196969696969697,33.35677,-111.91153
127,12.75,0.137254901960784,0.0392156862745098,0.294117647058824,0.941176470588235,33.349147,-111.911297
128,26.5,0.254716981132075,0.443396226415094,0.0849056603773585,0.160377358490566,33.400146,-111.908998
129,71,0.330985915492958,0.316901408450704,0.204225352112676,0.661971830985915,33.400246,-111.926098
130,9.5,0.368421052631579,0.605263157894737,0.0526315789473684,0.131578947368421,33.400346,-111.900497
131,263.5,0.206831119544592,0.0645161290322581,0.385199240986717,0.690702087286527,33.414645,-111.926098
133,218.5,0.323798627002288,0.193363844393593,0.0823798627002288,0.177345537757437,33.414545,-111.934699
134,207.5,0.293975903614458,0.036144578313253,0.0698795180722892,0.216867469879518,33.414696,-111.92914
135,175.5,0.199430199430199,0.056980056980057,0.250712250712251,0.532763532763533,33.416745,-111.926198
138,58,0.137931034482759,0.0948275862068965,0.275862068965517,0.495689655172414,33.407445,-111.926098
139,134.5,0.265799256505576,0.297397769516729,0.0315985130111524,0.0799256505576208,33.407445,-111.934699
140,14.75,0.152542372881356,0.474576271186441,0.271186440677966,0.644067796610169,33.392845,-111.960709
141,53.75,0.144186046511628,0.358139534883721,0.130232558139535,0.386046511627907,33.392846,-111.934798
142,51.5,0.228155339805825,0.116504854368932,0.359223300970874,0.951456310679612,33.392946,-111.926198
143,27.5,0.190909090909091,0.490909090909091,0.0545454545454545,0.327272727272727,33.392846,-111.951999
144,35.25,0.191489361702128,0.120567375886525,0.475177304964539,0.950354609929078,33.392846,-111.939499
145,13,0.346153846153846,0.384615384615385,0.307692307692308,0.384615384615385,33.4001,-111.9397
146,33.25,0.240601503759398,0.165413533834586,0.24812030075188,0.578947368421053,33.407345,-111.939699
152,27.75,0.252252252252252,0.387387387387387,0,0,33.4324,-111.94885
154,123.5,0.192307692307692,0.0668016194331984,0.115384615384615,0.477732793522267,33.42018,-111.92627
155,34,0.191176470588235,0.161764705882353,0.294117647058824,0.632352941176471,33.422,-111.9091
157,13,0.115384615384615,0.5,0.269230769230769,0.423076923076923,33.440289,-111.930861
158,30.5,0.131147540983607,0.409836065573771,0.344262295081967,0.647540983606557,33.4426,-111.9566
159,31.5,0.253968253968254,0.26984126984127,0.222222222222222,0.698412698412698,33.407433,-111.909107
160,29,0.120689655172414,0.344827586206897,0.137931034482759,0.568965517241379,33.407397,-111.952164
162,22,0.193181818181818,0.238636363636364,0.181818181818182,0.534090909090909,33.40738,-111.94783
163,79.25,0.246056782334385,0.100946372239748,0.261829652996845,0.315457413249211,33.421894,-111.944266
164,32.25,0.209302325581395,0.263565891472868,0.209302325581395,0.581395348837209,33.39295,-111.90912
165,40.5,0.0617283950617284,0.234567901234568,0.296296296296296,0.666666666666667,33.421936,-111.960908
166,60,0.208333333333333,0.0333333333333333,0.125,0.208333333333333,33.41941,-111.917692
169,13,0.269230769230769,0.192307692307692,0.461538461538462,1,33.3782,-111.946
170,4,0.125,0.125,0.125,0.875,33.32725,-111.9631
171,4.5,0.444444444444444,0.222222222222222,0.222222222222222,0.111111111111111,33.32755,-111.91895
172,74.25,0.218855218855219,0.414141414141414,0.0202020202020202,0.0134680134680135,33.4002,-111.9349
173,75,0.193333333333333,0.16,0.3,0.613333333333333,33.4148,-111.9091
174,14.5,0.0172413793103448,0.189655172413793,0.155172413793103,0.655172413793103,33.3784,-111.9092
175,14,0.178571428571429,0.321428571428571,0.285714285714286,0.678571428571429,33.3638,-111.9112
176,12,0.208333333333333,0.354166666666667,0.3125,0.666666666666667,33.33465,-111.91115
177,7,0.357142857142857,0.321428571428571,0.25,0.678571428571429,33.3315,-111.91115
