Location ID,Time,Recorder,,Page,Segment,Direction,Count,Gender ,Helmet,Wrong way,Sidewalk,Notes,Construction
101,AM,Allen Booker,,1,1,1,5,1,5,0,1,,
101,AM,Allen Booker,,1,1,2,0,0,0,0,0,,
101,AM,Allen Booker,,1,1,3,0,0,0,0,0,,
101,AM,Allen Booker,,1,1,4,1,0,0,0,0,,
101,AM,Allen Booker,,1,2,1,1,0,1,0,0,,
101,AM,Allen Booker,,1,2,2,3,0,1,1,1,,
101,AM,Allen Booker,,1,2,3,0,0,0,0,0,,
101,AM,Allen Booker,,1,2,4,3,0,2,0,0,,
101,AM,Allen Booker,,1,3,1,6,0,5,0,0,,
101,AM,Allen Booker,,1,3,2,1,0,0,1,1,,
101,AM,Allen Booker,,1,3,3,2,0,2,0,2,,
101,AM,Allen Booker,,1,3,4,2,0,2,0,0,,
101,AM,Allen Booker,,1,4,1,4,0,4,1,1,,
101,AM,Allen Booker,,1,4,2,2,0,2,2,2,,
101,AM,Allen Booker,,1,4,3,1,1,1,0,0,,
101,AM,Allen Booker,,1,4,4,1,0,1,0,0,,
101,AM,Allen Booker,,2,1,1,2,2,1,0,0,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,1,2,2,0,1,0,1,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,1,3,1,0,1,0,0,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,1,4,0,0,0,0,0,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,2,1,3,1,2,0,0,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,2,2,3,0,3,2,2,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,2,3,2,1,1,1,1,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,2,4,1,0,0,0,1,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,3,1,1,0,0,0,0,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,3,2,1,0,1,1,1,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,3,3,4,1,4,0,0,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,3,4,0,0,0,0,0,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,4,1,2,1,2,0,0,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,4,2,4,0,1,2,3,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,4,3,0,0,0,0,0,Left ~5 minutes early to make a meeting,
101,AM,Allen Booker,,2,4,4,0,0,0,0,0,Left ~5 minutes early to make a meeting,
102,AM,Michael Gonzales,,1,1,1,8,1,6,2,1,,
102,AM,Michael Gonzales,,1,1,2,9,3,2,1,1,,
102,AM,Michael Gonzales,,1,1,3,1,1,0,0,1,,
102,AM,Michael Gonzales,,1,1,4,3,0,2,1,1,,
102,AM,Michael Gonzales,,1,2,1,4,0,1,0,0,,
102,AM,Michael Gonzales,,1,2,2,2,1,0,1,1,,
102,AM,Michael Gonzales,,1,2,3,0,0,0,0,0,,
102,AM,Michael Gonzales,,1,2,4,1,0,1,0,0,,
102,AM,Michael Gonzales,,1,3,1,4,0,3,0,0,,
102,AM,Michael Gonzales,,1,3,2,3,0,1,1,1,,
102,AM,Michael Gonzales,,1,3,3,0,0,0,0,0,,
102,AM,Michael Gonzales,,1,3,4,1,0,1,0,0,,
102,AM,Michael Gonzales,,1,4,1,3,0,2,0,0,,
102,AM,Michael Gonzales,,1,4,2,12,2,7,4,3,,
102,AM,Michael Gonzales,,1,4,3,3,1,2,3,1,,
102,AM,Michael Gonzales,,1,4,4,1,0,0,0,0,,
102,AM,Michael Gonzales,,2,1,1,1,0,1,1,0,,
102,AM,Michael Gonzales,,2,1,2,6,1,3,0,0,,
102,AM,Michael Gonzales,,2,1,3,0,0,0,0,0,,
102,AM,Michael Gonzales,,2,1,4,1,0,0,0,0,,
102,AM,Michael Gonzales,,2,2,1,0,0,0,0,0,,
102,AM,Michael Gonzales,,2,2,2,5,1,3,2,2,,
102,AM,Michael Gonzales,,2,2,3,1,0,0,1,1,,
102,AM,Michael Gonzales,,2,2,4,0,0,0,0,0,,
102,AM,Michael Gonzales,,2,3,1,3,1,2,1,1,,
102,AM,Michael Gonzales,,2,3,2,7,2,4,2,2,,
102,AM,Michael Gonzales,,2,3,3,3,2,0,0,1,,
102,AM,Michael Gonzales,,2,3,4,3,1,1,0,2,,
102,AM,Michael Gonzales,,2,4,1,4,0,3,1,1,,
102,AM,Michael Gonzales,,2,4,2,7,1,2,0,0,,
102,AM,Michael Gonzales,,2,4,3,1,0,1,0,0,,
102,AM,Michael Gonzales,,2,4,4,1,1,0,0,0,,
102,PM,Mick Darcey,,1,1,1,5,0,4,0,1,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,1,2,5,1,3,0,2,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,1,3,4,1,0,1,2,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,1,4,2,2,0,0,2,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,2,1,16,6,2,3,7,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,2,2,11,0,4,0,2,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,2,3,3,1,3,0,2,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,2,4,1,0,0,1,1,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,3,1,9,1,0,2,5,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,3,2,4,1,1,1,3,Bike Lanes All IntersectionsHeavy Traffic,
102,PM,Mick Darcey,,1,3,3,0,0,0,0,0,Bike Lanes All IntersectionsHeavy Traffic,
