LocID,Total_per_hr,Female,Helmet,Wrongway,Sidewalk,Latitude,Longitude
101,48,0.170984046,0.694299546,0.113990049,0.207252931,33.437574,-111.943254
102,60,0.121849696,0.521008962,0.08823435,0.235295059,33.42969,-111.94045
103,57,0.245613818,0.245613964,0.289473445,0.894736722,33.42885,-111.92628
104,26,0.133333435,0.323809803,0.285714267,0.761904027,33.429145,-111.908898
106,112,0.241611643,0.263982036,0.078299792,0.100670597,33.425445,-111.939799
108,107,0.200466374,0.086247644,0.044288674,0.072261495,33.425445,-111.944099
110,20,0.024999609,0.224999612,0.27499911,0.274999469,33.4256,-111.96095
111,124,0.321211552,0.180807856,0.086869528,0.217171939,33.418945,-111.939799
112,36,0.265735091,0.664335095,-1.57E-07,-5.37E-07,33.38595,-111.93508
113,58,0.227956086,0.240859848,0.236559731,0.298925227,33.414645,-111.939799
114,43,0.376471429,0.241177403,0.129412659,0.052942082,33.414645,-111.951999
115,310,0.239096096,0.058158892,0.190629479,0.279483356,33.421845,-111.934799
116,88,0.307254784,0.095305027,0.312943884,0.605974438,33.42202,-111.91768
117,197,0.277567378,0.081114439,0.354879179,0.689481187,33.422045,-111.926299
118,154,0.208131066,0.156096951,0.279674243,0.435772335,33.421945,-111.939799
119,92,0.223433136,0.168938142,0.188011353,0.272480317,33.421945,-111.942199
120,68,0.192593088,0.114814446,0.200000446,0.314815187,33.4219,-111.94727
121,36,0.201389147,0.208332711,0.187500856,0.409721577,33.421845,-111.952199
122,47,0.123655396,0.381720497,0.05914074,0.139784218,33.45128,-111.91303
123,40,0.267080153,0.559006271,0.043477565,0.130433993,33.35663,-111.92854
124,38,0.335526916,0.559210101,0.032894898,0.118421279,33.35677,-111.91153
126,25,0.234693277,0.357142848,0.193877194,0.653061685,33.377958,-111.945448
128,31,0.167999619,0.432000757,0.0800002,0.448000742,33.400146,-111.908998
129,50,0.220000769,0.279999042,0.080000041,0.66000078,33.400246,-111.926098
131,184,0.232337933,0.103260414,0.247283229,0.749999368,33.414645,-111.926098
132,66,0.178706805,0.18631123,0.15969564,0.334600354,33.414745,-111.917698
133,220,0.312713502,0.201475952,0.080023479,0.152099197,33.414545,-111.934699
134,233,0.311493696,0.067668515,2.39E-07,-2.31E-08,33.414696,-111.92914
135,177,0.282991463,0.057163083,0.24982433,0.306985637,33.416745,-111.926198
137,17,0.220588258,0.235294239,0.367646477,0.735295034,33.407545,-111.960699
138,73,0.260274765,0.116439215,0.311642902,0.969178427,33.407445,-111.926098
139,152,0.262725897,0.359605165,0.036124516,0.083743605,33.407445,-111.934699
141,72,0.238753846,0.408303684,0.086504788,0.346021576,33.392846,-111.934798
142,41,0.121950573,0.207317604,0.237804379,0.957316349,33.392946,-111.926198
143,22,0.20689703,0.356321642,0.068964882,0.574712875,33.392846,-111.951999
144,38,0.248366144,0.156862585,0.366012435,0.908495837,33.392846,-111.939499
145,20,0.283951089,0.296295402,0.135802315,0.395061638,33.4001,-111.9397
146,34,0.205882487,0.12500056,2.72E-01,7.72E-01,33.407345,-111.939699
147,21,0.243902228,0.231706867,0.219511626,0.926828474,33.378146,-111.939298
152,47,0.160427958,0.481283205,2.63E-07,-2.98E-07,33.4324,-111.94885
155,68,0.286764097,0.169116722,0.202206805,0.816176046,33.422,-111.9091
156,18,0.112676743,0.760562607,-3.45E-07,0.225351487,33.438908,-111.943848
157,27,0.14678861,0.577981092,0.100917789,0.220183886,33.440289,-111.930861
158,33,0.082707679,0.526316722,0.203007977,0.466165681,33.4426,-111.9566
159,41,0.187878611,0.036363033,0.309090992,0.963636391,33.407433,-111.909107
160,20,0.217948922,0.333332402,0.205129039,0.576922275,33.407397,-111.952164
161,28,0.159292936,0.19468981,0.185840022,0.796460774,33.422013,-111.891954
162,20,0.271605791,0.246914008,0.197530452,0.555555,33.40738,-111.94783
163,64,0.216535526,0.114173118,0.185038795,0.303150364,33.421894,-111.944266
164,29,0.213675798,0.162393277,0.341881001,0.948718618,33.39295,-111.90912
165,21,0.060241068,0.301205055,0.228916445,0.518072208,33.421936,-111.960908
166,56,0.214285293,0.071427932,0.129465009,0.254464386,33.420116,-111.917683
167,17,0.235294548,0.588235901,0.10294139,0.720589158,33.43343,-111.961085
