"Location ID",Time,Recorder,"Rec Count",Page,Segment,Direction,Count,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,Pedestrian,Motoroized,Electric,Decor/Lights,"ADA Peds","ADA Chairs",Notes,Construction,LocRank,LocRankUniq,Seg,Seg1,LocTime,LocTimeDir,,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,,"Cordon in","Cordon out","Bike Lane Size","Bike Lane"
102,AM,"Jennifer McCulley",2,1,1,3,2,,,,,,,,0,,,,,,,,2,,1,102_1,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,1,4,1,,,1,1,,,,6,,,,,,,,2,,1,102_1,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,2,1,6,1,,1,3,1,1,1,0,,,,,,,,2,,2,102_2,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,2,2,5,2,,1,2,1,1,1,3,,,,,,,,2,,2,102_2,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,2,3,,,,,,,,,0,,,,,,,,2,,2,102_2,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,2,4,1,,,,,,,,2,,,,,,,,2,,2,102_2,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,3,1,5,1,,,4,,,,5,,,,,,,,2,,3,102_3,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,3,2,5,2,,1,2,1,1,2,3,,,,,,,,2,,3,102_3,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,3,3,1,,,,,,,,1,,,,,,,,2,,3,102_3,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,3,4,,,,,,,,,2,,,,,,,,2,,3,102_3,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,4,1,6,1,,,4,0,1,2,4,,,,,,,,2,,4,102_4,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,4,2,8,,,,2,3,2,,4,,,,,,,,2,,4,102_4,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,4,3,2,1,,,2,,,,1,,,,,,,,2,,4,102_4,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,4,4,1,,,,1,,,,1,,,,,,,,2,,4,102_4,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,,,,,,,,,,,,,,,,,,,2,,,,102AM,,,,,,,,,,,0,0,0,0
102,AM,"Jennifer McCulley",2,2,1,1,1,,,,1,,,1,2,,,,,,,,2,,5,102_5,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,2,1,2,4,1,,1,3,,,2,3,,,,,,,,2,,5,102_5,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,2,1,3,4,2,,,2,,,,1,,,,,,,,2,,5,102_5,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,2,1,4,1,,,,1,,,,1,,,,,,,,2,,5,102_5,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,2,2,1,,,,,,,,,9,,,,,,,,2,,6,102_6,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,2,2,2,8,3,,2,6,,,5,3,,,,,,,,2,,6,102_6,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,2,2,3,,,,,,,,,6,,,,,,,,2,,6,102_6,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,2,2,4,1,,,,1,,,1,0,,,,,,,,2,,6,102_6,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,2,3,1,5,,,,2,2,,,7,,,,,,,,2,,7,102_7,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,2,3,2,4,1,,2,1,1,1,,6,,,,,,,,2,,7,102_7,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,2,3,3,3,1,,1,,1,,,4,,,,,,,,2,,7,102_7,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,2,3,4,1,,,,,1,,,0,,,,,,,,2,,7,102_7,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,2,4,1,2,,,1,,,1,,5,,,,,,,,2,,8,102_8,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,2,4,2,4,,,,1,1,,,10,,,,,,,,2,,8,102_8,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,2,4,3,1,,,1,,,,,9,,,,,,,,2,,8,102_8,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,2,4,4,1,,,,,,,,2,,,,,,,,2,,8,102_8,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,2,,,,,,,,,,,,,,,,,"red light runners: 1bike, 7ped. NB wrong way riders heading to Beach Prk 
Cars coming s. on mill at excessive speed & wrong lane at times","construction on SE corner.",2,,,,102AM,,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,1,1,1,1,,,,1,1,,,6,,,,,,,,3,3,1,103_1,103AM,103AMNS,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,1,1,2,10,,,,,2,10,,4,,,,,,,,3,,1,103_1,103AM,103AMNS,,,,,,,,,,1,0,0,0
103,AM,"Charlotte Quinn",3,1,1,3,3,,,,3,,,,,,,,,,,,3,,1,103_1,103AM,103AMEW,,,,,,,,,,0,0,3,1
103,AM,"Charlotte Quinn",3,1,1,4,1,,,,1,,,,,,,,,,,,3,,1,103_1,103AM,103AMEW,,,,,,,,,,1,0,3,1
103,AM,"Charlotte Quinn",3,1,2,1,5,1,,1,2,,5,,3,,,,,,,,3,,2,103_2,103AM,103AMNS,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,1,2,2,5,1,,,1,2,4,1,9,,,,,,,,3,,2,103_2,103AM,103AMNS,,,,,,,,,,1,0,0,0
103,AM,"Charlotte Quinn",3,1,2,3,,,,,,,,,,,,,,,,,3,,2,103_2,103AM,103AMEW,,,,,,,,,,0,0,3,1
103,AM,"Charlotte Quinn",3,1,2,4,,,,,,,,,,,,,,,,,3,,2,103_2,103AM,103AMEW,,,,,,,,,,1,0,3,1
103,AM,"Charlotte Quinn",3,1,3,1,1,,,,1,1,,,2,,,,,,,,3,,3,103_3,103AM,103AMNS,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,1,3,2,5,,,,1,5,,,7,,,,,,,,3,,3,103_3,103AM,103AMNS,,,,,,,,,,1,0,0,0
103,AM,"Charlotte Quinn",3,1,3,3,1,,,,1,,,,4,,,,,,,,3,,3,103_3,103AM,103AMEW,,,,,,,,,,0,0,3,1
103,AM,"Charlotte Quinn",3,1,3,4,1,,,,,1,,,,,,,,,,,3,,3,103_3,103AM,103AMEW,,,,,,,,,,1,0,3,1
103,AM,"Charlotte Quinn",3,1,4,1,4,2,,,1,2,4,,3,,,,,,,,3,,4,103_4,103AM,103AMNS,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,1,4,2,10,4,,1,2,2,10,,5,,,,,,,,3,,4,103_4,103AM,103AMNS,,,,,,,,,,1,0,0,0
103,AM,"Charlotte Quinn",3,1,4,3,2,1,,,2,,,,,,,,,,,,3,,4,103_4,103AM,103AMEW,,,,,,,,,,0,0,3,1
103,AM,"Charlotte Quinn",3,1,4,4,,,,,,,,,,,,,,,,,3,,4,103_4,103AM,103AMEW,,,,,,,,,,1,0,3,1
103,AM,"Charlotte Quinn",3,1,,,,,,,,,,,,,,,,,"One tandem bike (both helmets, one female) going EB",,3,,,,103AM,,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,2,1,1,,,,,,,,,1,,,,,,,,3,,5,103_5,103AM,103AMNS,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,2,1,2,10,4,,,2,1,9,,1,,,,,,,,3,,5,103_5,103AM,103AMNS,,,,,,,,,,1,0,0,0
103,AM,"Charlotte Quinn",3,2,1,3,4,2,,,2,,,,2,,,,,,,,3,,5,103_5,103AM,103AMEW,,,,,,,,,,0,0,3,1
103,AM,"Charlotte Quinn",3,2,1,4,3,,,,2,,2,,2,,,,,,,,3,,5,103_5,103AM,103AMEW,,,,,,,,,,1,0,3,1
103,AM,"Charlotte Quinn",3,2,2,1,1,,,,1,,,,1,,,,,,,,3,,6,103_6,103AM,103AMNS,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,2,2,2,8,1,,,1,1,8,,3,,,,,,,,3,,6,103_6,103AM,103AMNS,,,,,,,,,,1,0,0,0
103,AM,"Charlotte Quinn",3,2,2,3,1,,,,1,,,,2,,,,,,,,3,,6,103_6,103AM,103AMEW,,,,,,,,,,0,0,3,1
103,AM,"Charlotte Quinn",3,2,2,4,2,,,,2,,,,1,,,,,,,,3,,6,103_6,103AM,103AMEW,,,,,,,,,,1,0,3,1
103,AM,"Charlotte Quinn",3,2,3,1,1,,,,,,1,,,,,,,,,,3,,7,103_7,103AM,103AMNS,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,2,3,2,7,,,,4,,6,,4,,,,,,,,3,,7,103_7,103AM,103AMNS,,,,,,,,,,1,0,0,0
103,AM,"Charlotte Quinn",3,2,3,3,4,1,,2,2,,,,,,,,,,,,3,,7,103_7,103AM,103AMEW,,,,,,,,,,0,0,3,1
103,AM,"Charlotte Quinn",3,2,3,4,1,,,,1,,,,,,,,,,,,3,,7,103_7,103AM,103AMEW,,,,,,,,,,1,0,3,1
103,AM,"Charlotte Quinn",3,2,4,1,1,,,,1,,1,,4,,,,,,,,3,,8,103_8,103AM,103AMNS,,,,,,,,,,0,0,0,0
103,AM,"Charlotte Quinn",3,2,4,2,3,,,,2,,3,,5,,,,,,,,3,,8,103_8,103AM,103AMNS,,,,,,,,,,1,0,0,0
103,AM,"Charlotte Quinn",3,2,4,3,1,,,,1,,,,,,,,,,,,3,,8,103_8,103AM,103AMEW,,,,,,,,,,0,0,3,1
103,AM,"Charlotte Quinn",3,2,4,4,,,,,,,,,1,,,,,,,,3,,8,103_8,103AM,103AMEW,,,,,,,,,,1,0,3,1
103,AM,"Charlotte Quinn",3,2,,,,,,,,,,,,,,,,,"1 electric scooter, 1 bike with pulled child compartment (child not counted) going SB",,3,,,,103AM,,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,1,1,2,,,,1,2,2,1,2,,,,,,,,4,4,9,104_9,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,1,2,3,,,,,1,3,,,,,,,,,,4,,9,104_9,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,1,3,,,,,,,,,1,,,,,,,,4,,9,104_9,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,1,4,1,,,,,,1,,,,,,,,,,4,,9,104_9,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,2,1,7,1,,,,,5,,1,,,,,,,,4,,10,104_10,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,2,2,3,,,,1,1,3,1,,,,,,,,,4,,10,104_10,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,2,3,5,1,,,2,2,1,2,,,,,,,,,4,,10,104_10,104PM,104PMEW,,,,,,,,,,0,0,0,0
